service_id,date,exception_type
RM00100018_107M006,20170113,1
RM00100018_107M007,20170113,1
RM00100018_107M001,20170116,1
RM00100018_107M002,20170116,1
RM00100018_107M003,20170116,1
RM00100018_107M004,20170116,1
RM00100018_107M005,20170116,1
RM00100018_107M006,20170116,1
RM00100018_107M007,20170116,1
RM00100018_107M001,20170117,1
RM00100018_107M002,20170117,1
RM00100018_107M003,20170117,1
RM00100018_107M004,20170117,1
RM00100018_107M005,20170117,1
RM00100018_107M006,20170117,1
RM00100018_107M007,20170117,1
RM00100018_107M001,20170118,1
RM00100018_107M002,20170118,1
RM00100018_107M003,20170118,1
RM00100018_107M004,20170118,1
RM00100018_107M005,20170118,1
RM00100018_107M006,20170118,1
RM00100018_107M007,20170118,1
RM00100018_107M001,20170119,1
RM00100018_107M002,20170119,1
RM00100018_107M003,20170119,1
RM00100018_107M004,20170119,1
RM00100018_107M005,20170119,1
RM00100018_107M006,20170119,1
RM00100018_107M007,20170119,1
RM00100018_107M001,20170120,1
RM00100018_107M002,20170120,1
RM00100018_107M003,20170120,1
RM00100018_107M004,20170120,1
RM00100018_107M005,20170120,1
RM00100018_107M006,20170120,1
RM00100018_107M007,20170120,1
RM00100018_107M001,20170123,1
RM00100018_107M002,20170123,1
RM00100018_107M003,20170123,1
RM00100018_107M004,20170123,1
RM00100018_107M005,20170123,1
RM00100018_107M006,20170123,1
RM00100018_107M007,20170123,1
RM00100018_107M001,20170124,1
RM00100018_107M002,20170124,1
RM00100018_107M003,20170124,1
RM00100018_107M004,20170124,1
RM00100018_107M005,20170124,1
RM00100018_107M006,20170124,1
RM00100018_107M007,20170124,1
RM00100018_107M001,20170125,1
RM00100018_107M002,20170125,1
RM00100018_107M003,20170125,1
RM00100018_107M004,20170125,1
RM00100018_107M005,20170125,1
RM00100018_107M006,20170125,1
RM00100018_107M007,20170125,1
RM00100018_107M001,20170126,1
RM00100018_107M002,20170126,1
RM00100018_107M003,20170126,1
RM00100018_107M004,20170126,1
RM00100018_107M005,20170126,1
RM00100018_107M006,20170126,1
RM00100018_107M007,20170126,1
RM00100018_107M001,20170127,1
RM00100018_107M002,20170127,1
RM00100018_107M003,20170127,1
RM00100018_107M004,20170127,1
RM00100018_107M005,20170127,1
RM00100018_107M006,20170127,1
RM00100018_107M007,20170127,1
RM00100018_107M001,20170130,1
RM00100018_107M002,20170130,1
RM00100018_107M003,20170130,1
RM00100018_107M004,20170130,1
RM00100018_107M005,20170130,1
RM00100018_107M006,20170130,1
RM00100018_107M007,20170130,1
RM00100018_107M001,20170131,1
RM00100018_107M002,20170131,1
RM00100018_107M003,20170131,1
RM00100018_107M004,20170131,1
RM00100018_107M005,20170131,1
RM00100018_107M006,20170131,1
RM00100018_107M007,20170131,1
RM00100020_107RM001,20170107,1
RM00100020_107RM002,20170107,1
RM00100020_107RM003,20170107,1
RM00100020_107RM004,20170107,1
RM00100020_107RM001,20170114,1
RM00100020_107RM002,20170114,1
RM00100020_107RM003,20170114,1
RM00100020_107RM004,20170114,1
RM00100020_107RM001,20170121,1
RM00100020_107RM002,20170121,1
RM00100020_107RM003,20170121,1
RM00100020_107RM004,20170121,1
RM00100020_107RM001,20170128,1
RM00100020_107RM002,20170128,1
RM00100020_107RM003,20170128,1
RM00100020_107RM004,20170128,1
RM00100021_108RM001,20170102,1
RM00100021_108RM002,20170102,1
RM00100021_108RM001,20170103,1
RM00100021_108RM002,20170103,1
RM00100021_108RM001,20170104,1
RM00100021_108RM002,20170104,1
RM00100021_108RM001,20170105,1
RM00100021_108RM002,20170105,1
RM00100021_108RM001,20170106,1
RM00100021_108RM002,20170106,1
RM00100021_108RM001,20170109,1
RM00100021_108RM002,20170109,1
RM00100021_108RM001,20170110,1
RM00100021_108RM002,20170110,1
RM00100021_108RM001,20170111,1
RM00100021_108RM002,20170111,1
RM00100021_108RM001,20170112,1
RM00100021_108RM002,20170112,1
RM00100021_108RM001,20170113,1
RM00100021_108RM002,20170113,1
RM00100021_108RM001,20170116,1
RM00100021_108RM002,20170116,1
RM00100021_108RM001,20170117,1
RM00100021_108RM002,20170117,1
RM00100021_108RM001,20170118,1
RM00100021_108RM002,20170118,1
RM00100021_108RM001,20170119,1
RM00100021_108RM002,20170119,1
RM00100021_108RM001,20170120,1
RM00100021_108RM002,20170120,1
RM00100021_108RM001,20170123,1
RM00100021_108RM002,20170123,1
RM00100021_108RM001,20170124,1
RM00100021_108RM002,20170124,1
RM00100021_108RM001,20170125,1
RM00100021_108RM002,20170125,1
RM00100021_108RM001,20170126,1
RM00100021_108RM002,20170126,1
RM00100021_108RM001,20170127,1
RM00100021_108RM002,20170127,1
RM00100021_108RM001,20170130,1
RM00100021_108RM002,20170130,1
RM00100021_108RM001,20170131,1
RM00100021_108RM002,20170131,1
RM00100023_108RM001,20170107,1
RM00100023_108RM002,20170107,1
RM00100023_108RM001,20170114,1
RM00100023_108RM002,20170114,1
RM00100023_108RM001,20170121,1
RM00100023_108RM002,20170121,1
RM00100023_108RM001,20170128,1
RM00100023_108RM002,20170128,1
RM00100024_115RM001,20170102,1
RM00100024_115RM002,20170102,1
RM00100024_115RM001,20170103,1
RM00100024_115RM002,20170103,1
RM00100024_115RM001,20170104,1
RM00100024_115RM002,20170104,1
RM00100024_115RM001,20170105,1
RM00100024_115RM002,20170105,1
RM00100024_115RM001,20170106,1
RM00100024_115RM002,20170106,1
RM00100024_115RM001,20170109,1
RM00100024_115RM002,20170109,1
RM00100024_115RM001,20170110,1
RM00100024_115RM002,20170110,1
RM00100024_115RM001,20170111,1
RM00100024_115RM002,20170111,1
RM00100024_115RM001,20170112,1
RM00100024_115RM002,20170112,1
RM00100024_115RM001,20170113,1
RM00100024_115RM002,20170113,1
RM00100024_115RM001,20170116,1
RM00100024_115RM002,20170116,1
RM00100024_115RM001,20170117,1
RM00100024_115RM002,20170117,1
RM00100024_115RM001,20170118,1
RM00100024_115RM002,20170118,1
RM00100024_115RM001,20170119,1
RM00100024_115RM002,20170119,1
RM00100024_115RM001,20170120,1
RM00100024_115RM002,20170120,1
RM00100024_115RM001,20170123,1
RM00100024_115RM002,20170123,1
RM00100024_115RM001,20170124,1
RM00100024_115RM002,20170124,1
RM00100024_115RM001,20170125,1
RM00100024_115RM002,20170125,1
RM00100024_115RM001,20170126,1
RM00100024_115RM002,20170126,1
RM00100024_115RM001,20170127,1
RM00100024_115RM002,20170127,1
RM00100024_115RM001,20170130,1
RM00100024_115RM002,20170130,1
RM00100024_115RM001,20170131,1
RM00100024_115RM002,20170131,1
RM00100025_115RM001,20170107,1
RM00100025_115RM002,20170107,1
RM00100025_115RM001,20170114,1
RM00100025_115RM002,20170114,1
RM00100025_115RM001,20170121,1
RM00100025_115RM002,20170121,1
RM00100025_115RM001,20170128,1
RM00100025_115RM002,20170128,1
RM00100028_116RM001,20170102,1
RM00100028_116RM002,20170102,1
RM00100028_116RM003,20170102,1
RM00100028_116RM004,20170102,1
RM00100028_116RM005,20170102,1
RM00100028_116RM006,20170102,1
RM00100028_116RM007,20170102,1
RM00100028_116RM008,20170102,1
RM00100028_116RM009,20170102,1
RM00100028_116RM001,20170103,1
RM00100028_116RM002,20170103,1
RM00100028_116RM003,20170103,1
RM00100028_116RM004,20170103,1
RM00100028_116RM005,20170103,1
RM00100028_116RM006,20170103,1
RM00100028_116RM007,20170103,1
RM00100028_116RM008,20170103,1
RM00100028_116RM009,20170103,1
RM00100028_116RM001,20170104,1
RM00100028_116RM002,20170104,1
RM00100028_116RM003,20170104,1
RM00100028_116RM004,20170104,1
RM00100028_116RM005,20170104,1
RM00100028_116RM006,20170104,1
RM00100028_116RM007,20170104,1
RM00100028_116RM008,20170104,1
RM00100028_116RM009,20170104,1
RM00100028_116RM001,20170105,1
RM00100028_116RM002,20170105,1
RM00100028_116RM003,20170105,1
RM00100028_116RM004,20170105,1
RM00100028_116RM005,20170105,1
RM00100028_116RM006,20170105,1
RM00100028_116RM007,20170105,1
RM00100028_116RM008,20170105,1
RM00100028_116RM009,20170105,1
RM00100028_116RM001,20170106,1
RM00100028_116RM002,20170106,1
RM00100028_116RM003,20170106,1
RM00100028_116RM004,20170106,1
RM00100028_116RM005,20170106,1
RM00100028_116RM006,20170106,1
RM00100028_116RM007,20170106,1
RM00100028_116RM008,20170106,1
RM00100028_116RM009,20170106,1
RM00100028_116RM001,20170109,1
RM00100028_116RM002,20170109,1
RM00100028_116RM003,20170109,1
RM00100028_116RM004,20170109,1
RM00100028_116RM005,20170109,1
RM00100028_116RM006,20170109,1
RM00100028_116RM007,20170109,1
RM00100028_116RM008,20170109,1
RM00100028_116RM009,20170109,1
RM00100028_116RM001,20170110,1
RM00100028_116RM002,20170110,1
RM00100028_116RM003,20170110,1
RM00100028_116RM004,20170110,1
RM00100028_116RM005,20170110,1
RM00100028_116RM006,20170110,1
RM00100028_116RM007,20170110,1
RM00100028_116RM008,20170110,1
RM00100028_116RM009,20170110,1
RM00100028_116RM001,20170111,1
RM00100028_116RM002,20170111,1
RM00100028_116RM003,20170111,1
RM00100028_116RM004,20170111,1
RM00100028_116RM005,20170111,1
RM00100028_116RM006,20170111,1
RM00100028_116RM007,20170111,1
RM00100028_116RM008,20170111,1
RM00100028_116RM009,20170111,1
RM00100028_116RM001,20170112,1
RM00100028_116RM002,20170112,1
RM00100028_116RM003,20170112,1
RM00100028_116RM004,20170112,1
RM00100028_116RM005,20170112,1
RM00100028_116RM006,20170112,1
RM00100028_116RM007,20170112,1
RM00100028_116RM008,20170112,1
RM00100028_116RM009,20170112,1
RM00100028_116RM001,20170113,1
RM00100028_116RM002,20170113,1
RM00100028_116RM003,20170113,1
RM00100028_116RM004,20170113,1
RM00100028_116RM005,20170113,1
RM00100028_116RM006,20170113,1
RM00100028_116RM007,20170113,1
RM00100028_116RM008,20170113,1
RM00100028_116RM009,20170113,1
RM00100028_116RM001,20170116,1
RM00100028_116RM002,20170116,1
RM00100028_116RM003,20170116,1
RM00100028_116RM004,20170116,1
RM00100028_116RM005,20170116,1
RM00100028_116RM006,20170116,1
RM00100028_116RM007,20170116,1
RM00100028_116RM008,20170116,1
RM00100028_116RM009,20170116,1
RM00100028_116RM001,20170117,1
RM00100028_116RM002,20170117,1
RM00100028_116RM003,20170117,1
RM00100028_116RM004,20170117,1
RM00100028_116RM005,20170117,1
RM00100028_116RM006,20170117,1
RM00100028_116RM007,20170117,1
RM00100028_116RM008,20170117,1
RM00100028_116RM009,20170117,1
RM00100028_116RM001,20170118,1
RM00100028_116RM002,20170118,1
RM00100028_116RM003,20170118,1
RM00100028_116RM004,20170118,1
RM00100028_116RM005,20170118,1
RM00100028_116RM006,20170118,1
RM00100028_116RM007,20170118,1
RM00100028_116RM008,20170118,1
RM00100028_116RM009,20170118,1
RM00100028_116RM001,20170119,1
RM00100028_116RM002,20170119,1
RM00100028_116RM003,20170119,1
RM00100028_116RM004,20170119,1
RM00100028_116RM005,20170119,1
RM00100028_116RM006,20170119,1
RM00100028_116RM007,20170119,1
RM00100028_116RM008,20170119,1
RM00100028_116RM009,20170119,1
RM00100028_116RM001,20170120,1
RM00100028_116RM002,20170120,1
RM00100028_116RM003,20170120,1
RM00100028_116RM004,20170120,1
RM00100028_116RM005,20170120,1
RM00100028_116RM006,20170120,1
RM00100028_116RM007,20170120,1
RM00100028_116RM008,20170120,1
RM00100028_116RM009,20170120,1
RM00100028_116RM001,20170123,1
RM00100028_116RM002,20170123,1
RM00100028_116RM003,20170123,1
RM00100028_116RM004,20170123,1
RM00100028_116RM005,20170123,1
RM00100028_116RM006,20170123,1
RM00100028_116RM007,20170123,1
RM00100028_116RM008,20170123,1
RM00100028_116RM009,20170123,1
RM00100028_116RM001,20170124,1
RM00100028_116RM002,20170124,1
RM00100028_116RM003,20170124,1
RM00100028_116RM004,20170124,1
RM00100028_116RM005,20170124,1
RM00100028_116RM006,20170124,1
RM00100028_116RM007,20170124,1
RM00100028_116RM008,20170124,1
RM00100028_116RM009,20170124,1
RM00100028_116RM001,20170125,1
RM00100028_116RM002,20170125,1
RM00100028_116RM003,20170125,1
RM00100028_116RM004,20170125,1
RM00100028_116RM005,20170125,1
RM00100028_116RM006,20170125,1
RM00100028_116RM007,20170125,1
RM00100028_116RM008,20170125,1
RM00100028_116RM009,20170125,1
RM00100028_116RM001,20170126,1
RM00100028_116RM002,20170126,1
RM00100028_116RM003,20170126,1
RM00100028_116RM004,20170126,1
RM00100028_116RM005,20170126,1
