route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
420,13,321,321: JARDIM SÃO PAULO (A. CARVALHO),,3,,,
421,13,817,252: Vila Rica / Jaboatão,,3,,,
422,13,4164,252: Vila Rica / Jaboatão,,3,,,
423,13,7710, Vila Rica / Jaboatão,,3,,,
424,13,252,252: VILA RICA / JABOATÃO,,3,,,
425,13,2254,Linha 138: Zumbi do Pacheco / TI Tancredo Neves,,3,,,
426,13,3956,zdvzsdf,,3,,,
427,13,3973,138: Zumbi do Pacheco / TI Tancredo Neves,,3,,,
428,13,138,138: ZUMBI DO PACHECO / TI TANCREDO NEVES,,3,,,
429,13,100,100: CIRCULAR (CONDE DA BOA VISTA /PREFEITURA) ,,3,,,
430,13, 202,202: BARRO / MACAXEIRA (VÁRZEA),,3,,,
431,13,8433,203: Zumbi do Pacheco / TI Barro (Loteamento),,3,,,
432,13,7411,203: Zumbi Pacheco / TI Barro (Lot.),,3,,,
433,13,3773,203: Zumbi do Pacheco / TI Barro (Loteamento),,3,,,
434,13,203,203: ZUMBI DO PACHECO / TI BARRO,,3,,,
435,13,3873,Linha 204: Loteamento Jiquiá / TI Santa Luzia,,3,,,
436,13,204,204: LOTEAMENTO JIQUIÁ / TI SANTA LUZIA ,,3,,,
438,13,256,256: LOTEAMENTO NOVA ESPERANÇA / TI CAVALEIRO ,,3,,,
439,13,101,101: CIRCULAR (Conde da Boa Vista / Rua do Sol) ,,3,,,
440,13,102,102: IBURA / TI SANTA LUZIA ,,3,,,
441,13,250,250: SANTO ALEIXO / JABOATÃO (LUZ) ,,3,,,
442,13,104,104: CIRCULAR (IMIP),,3,,,
443,13,149,149: ZUMBI DO PACHECO / TI CAVALEIRO,,3,,,
444,13,255,255: QUITANDINHA / TI CAVALEIRO ,,3,,,
445,13,106,106: PARQUE AERONÁUTICA / TI SANTA LUZIA,,3,,,
446,13,311,311: BONGI (AFOGADOS),,3,,,
447,13,207,207: BARRO / MACAXEIRA (BR-101) ,,3,,,
448,13,205,205: UR-05 / BARRO (BR-101) ,,3,,,
449,13,244,244: ALTO DO VENTO / TI CAVALEIRO,,3,,,
450,13,209,209: COQUEIRAL / BARRO,,3,,,
451,13,243,243: VILA DOIS CARNEIROS,,3,,,
452,13,245,245: DOIS CARNEIROS / TI CAVALEIRO,,3,,,
453,13,254,254: JABOATÃO (BACURAU) ,,3,,,
454,13, 251,251: SANTO ALEIXO / JABOATÃO (RIOS),,3,,,
455,13, 212,212: JARDIM SÃO PAULO,,3,,,
456,13,233,233: CAVALEIRO (BACURAU) ,,3,,,
457,13,108,108: BARRO/CEASA,,3,,,
458,13,315,315:  BONGI  ,,3,,,
459,13,220,220: TI JABOATÃO / TI CAVALEIRO,,3,,,
460,6,1943,1943: MIRUEIRA / TI PELÓPIDAS,,3,,,
461,13,128,128: UR-03 / BARRO (MILAGRES),,3,,,
462,13,322,322: JARDIM SÃO PAULO (BACURAU) ,,3,,,
463,13,424,424: CDU/TORRÕES (VIA SAN MARTIN) ,,3,,,
464,13,313,313: SAN MARTIN (A. DE CARVALHO)  ,,3,,,
