stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1458,40006,40006,Parada,-8.0961916215011,-34.9669916664325,,,,,America/Recife
1460,40008,40008,Parada,-8.09341939620231,-34.9637055553662,,,,,America/Recife
1461,40009,40009,Parada,-8.09068606250395,-34.9561249992858,,,,,America/Recife
1462,40010,40010,Parada,-8.09048328212098,-34.9521888884553,,,,,America/Recife
1463,40011,40011,Parada,-8.09134994950852,-34.950055555077,,,,,America/Recife
1465,40013,40013,Parada,-8.09324717803448,-34.943447221548,,,,,America/Recife
1466,40014,40014,Parada,-8.09297773075032,-34.9400194441173,,,,,America/Recife
1467,40015,40015,Parada,-8.09198883796527,-34.9363111100466,,,,,America/Recife
1468,40016,40016,Parada,-8.08958328126922,-34.9337888880791,,,,,America/Recife
1469,40017,40017,Parada,-8.08844717603825,-34.9326388882538,,,,,America/Recife
1470,40018,40018,Parada,-8.08677217639302,-34.9308999990823,,,,,America/Recife
1471,40019,40019,Parada,-8.0842888427944,-34.9268055549931,,,,,America/Recife
1472,40020,40020,Parada,-8.08268606394822,-34.9240944440637,,,,,America/Recife
1473,40021,40021,Parada,-8.08134995597846,-34.9218861106765,,,,,America/Recife
1474,40022,40022,Parada,-8.08090272678862,-34.9188027767688,,,,,America/Recife
1475,40023,40023,Parada,-8.08081384365222,-34.9163694437715,,,,,America/Recife
1476,40024,40024,Parada,-8.08059994914951,-34.9131249992192,,,,,America/Recife
1477,40025,40025,Parada,-8.08036384613689,-34.9102861101793,,,,,America/Recife
1478,40026,40026,Parada,-8.08035829050685,-34.9081555553312,,,,,America/Recife
5701,180012,180012,Parada,-8.07909717296923,-34.9010083332035,,,,,America/Recife
5702,180013,180013,Parada,-8.07846106653731,-34.8990999991955,,,,,America/Recife
5703,180014,180014,Parada,-8.07699995629639,-34.8947888882413,,,,,America/Recife
